AnimalID,SireID,DamID,FamilyID,SexID,Year,Breed
B0Aa0500,0,0,NA,1,2005,√ÂµÈ
B0Aa0600,0,0,NA,1,2005,√ÂµÈ
B0Aa0700,0,0,NA,1,2005,√ÂµÈ
B0Aa1200,0,0,NA,1,2005,√ÂµÈ
B0Ab0300,0,0,NA,1,2005,√ÂµÈ
B0Ab0400,0,0,NA,1,2005,√ÂµÈ
B0Ab0700,0,0,NA,1,2005,√ÂµÈ
B0Ab0800,0,0,NA,1,2005,√ÂµÈ
B0Ab1000,0,0,NA,1,2005,√ÂµÈ
B0Ab1200,0,0,NA,1,2005,√ÂµÈ
B0Ac0100,0,0,NA,1,2005,√ÂµÈ
B0Ac0200,0,0,NA,1,2005,√ÂµÈ
B0Ac0500,0,0,NA,1,2005,√ÂµÈ
B0Ba0100,0,0,NA,1,2005,’„Ω≠
B0Ba0400,0,0,NA,1,2005,’„Ω≠
B0Ba0600,0,0,NA,1,2005,’„Ω≠
B0Ba0800,0,0,NA,1,2005,’„Ω≠
B0Ba0900,0,0,NA,1,2005,’„Ω≠
B0Ba1600,0,0,NA,1,2005,’„Ω≠
B0Bb0300,0,0,NA,1,2005,’„Ω≠
B0Bb0500,0,0,NA,1,2005,’„Ω≠
B0Bb0900,0,0,NA,1,2005,’„Ω≠
B0Bb1100,0,0,NA,1,2005,’„Ω≠
B0Bc0100,0,0,NA,1,2005,’„Ω≠
B0Bc0300,0,0,NA,1,2005,’„Ω≠
B0Ca0400,0,0,NA,1,2005,π„Œ˜
B0Ca0500,0,0,NA,1,2005,π„Œ˜
B0Ca0800,0,0,NA,1,2005,π„Œ˜
B0Cb0300,0,0,NA,1,2005,π„Œ˜
B0Cb0800,0,0,NA,1,2005,π„Œ˜
B0Aa0501,0,0,NA,2,2005,√ÂµÈ
B0Aa0601,0,0,NA,2,2005,√ÂµÈ
B0Aa0603,0,0,NA,2,2005,√ÂµÈ
B0Aa0701,0,0,NA,2,2005,√ÂµÈ
B0Aa1201,0,0,NA,2,2005,√ÂµÈ
B0Ab0302,0,0,NA,2,2005,’„Ω≠
B0Ab0402,0,0,NA,2,2005,’„Ω≠
B0Ab0403,0,0,NA,2,2005,’„Ω≠
B0Ab0702,0,0,NA,2,2005,’„Ω≠
B0Ab0703,0,0,NA,2,2005,’„Ω≠
B0Ab0801,0,0,NA,2,2005,’„Ω≠
B0Ab1003,0,0,NA,2,2005,’„Ω≠
B0Ab1202,0,0,NA,2,2005,’„Ω≠
B0Ac0101,0,0,NA,2,2005,π„Œ˜
B0Ac0202,0,0,NA,2,2005,π„Œ˜
B0Ac0501,0,0,NA,2,2005,π„Œ˜
B0Ba0101,0,0,NA,2,2005,√ÂµÈ
B0Ba0402,0,0,NA,2,2005,√ÂµÈ
B0Ba0602,0,0,NA,2,2005,√ÂµÈ
B0Ba0801,0,0,NA,2,2005,√ÂµÈ
B0Ba0902,0,0,NA,2,2005,√ÂµÈ
B0Ba1602,0,0,NA,2,2005,√ÂµÈ
B0Bb0302,0,0,NA,2,2005,’„Ω≠
B0Bb0503,0,0,NA,2,2005,’„Ω≠
B0Bb0903,0,0,NA,2,2005,’„Ω≠
B0Bb1102,0,0,NA,2,2005,’„Ω≠
B0Bc0102,0,0,NA,2,2005,π„Œ˜
B0Bc0303,0,0,NA,2,2005,π„Œ˜
B0Ca0402,0,0,NA,2,2005,√ÂµÈ
B0Ca0501,0,0,NA,2,2005,√ÂµÈ
B0Ca0802,0,0,NA,2,2005,√ÂµÈ
B0Cb0302,0,0,NA,2,2005,’„Ω≠
B0Cb0802,0,0,NA,2,2005,’„Ω≠
MPG00M06,0,0,NA,1,2011,unknown
MPG00M19,0,0,NA,1,2011,unknown
MPG00M16,0,0,NA,1,2011,unknown
MPG00M14,0,0,NA,1,2011,unknown
MPG00M07,0,0,NA,1,2011,unknown
MPG00M13,0,0,NA,1,2011,unknown
MPG00M15,0,0,NA,1,2011,unknown
MPG00M21,0,0,NA,1,2011,unknown
MPG00F06,0,0,NA,2,2011,unknown
MPG00F19,0,0,NA,2,2011,unknown
MPG00F16,0,0,NA,2,2011,unknown
MPG00F14,0,0,NA,2,2011,unknown
MPG00F07,0,0,NA,2,2011,unknown
MPG00F13,0,0,NA,2,2011,unknown
MPG00F15,0,0,NA,2,2011,unknown
MPG00F21,0,0,NA,2,2011,unknown
G000M251,B0Aa0500,B0Aa0501,NA,1,2006,unknown
G000M241,B0Aa0600,B0Aa0601,NA,1,2006,unknown
G000D241,B0Aa0600,B0Aa0601,NA,2,2006,unknown
G000F411,B0Aa0600,B0Aa0603,NA,2,2006,unknown
G000F381,B0Aa0700,B0Aa0701,NA,2,2006,unknown
G000M211,B0Aa1200,B0Aa1201,NA,1,2006,unknown
G000M212,B0Aa1200,B0Aa1201,NA,1,2006,unknown
G000B211,B0Aa1200,B0Aa1201,NA,2,2006,unknown
G000F213,B0Aa1200,B0Aa1201,NA,2,2006,unknown
G000B311,B0Ab0300,B0Ab0302,NA,2,2006,unknown
G000M441,B0Ab0400,B0Ab0402,NA,1,2006,unknown
G000M271,B0Ab0400,B0Ab0403,NA,1,2006,unknown
G000M321,B0Ab0700,B0Ab0702,NA,1,2006,unknown
G000M181,B0Ab0700,B0Ab0703,NA,1,2006,unknown
G000M161,B0Ab0800,B0Ab0801,NA,1,2006,unknown
G000M231,B0Ab1000,B0Ab1003,NA,1,2006,unknown
G000M171,B0Ab1200,B0Ab1202,NA,1,2006,unknown
G000F171,B0Ab1200,B0Ab1202,NA,2,2006,unknown
G000F173,B0Ab1200,B0Ab1202,NA,2,2006,unknown
G000F202,B0Ac0100,B0Ac0101,NA,2,2006,unknown
G000B021,B0Ac0200,B0Ac0202,NA,2,2006,unknown
G000F121,B0Ac0500,B0Ac0501,NA,2,2006,unknown
G000F122,B0Ac0500,B0Ac0501,NA,2,2006,unknown
G000M332,B0Ba0100,B0Ba0101,NA,1,2006,unknown
G000F336,B0Ba0100,B0Ba0101,NA,2,2006,unknown
G000F431,B0Ba0400,B0Ba0402,NA,2,2006,unknown
G000F192,B0Ba0600,B0Ba0602,NA,2,2006,unknown
G000F194,B0Ba0600,B0Ba0602,NA,2,2006,unknown
G000F366,B0Ba0800,B0Ba0801,NA,2,2006,unknown
G000F282,B0Ba0900,B0Ba0902,NA,2,2006,unknown
G000F285,B0Ba0900,B0Ba0902,NA,2,2006,unknown
G000F286,B0Ba0900,B0Ba0902,NA,2,2006,unknown
G000M221,B0Ba1600,B0Ba1602,NA,1,2006,unknown
G000F301,B0Bb0300,B0Bb0302,NA,2,2006,unknown
G000F303,B0Bb0300,B0Bb0302,NA,2,2006,unknown
G000F305,B0Bb0300,B0Bb0302,NA,2,2006,unknown
G000M011,B0Bb0500,B0Bb0503,NA,1,2006,unknown
G000M012,B0Bb0500,B0Bb0503,NA,1,2006,unknown
G000B015,B0Bb0500,B0Bb0503,NA,2,2006,unknown
G000M341,B0Bb0900,B0Bb0903,NA,1,2006,unknown
G000M061,B0Bb1100,B0Bb1102,NA,1,2006,unknown
G000M062,B0Bb1100,B0Bb1102,NA,1,2006,unknown
G000B521,B0Bc0100,B0Bc0102,NA,2,2006,unknown
G000F525,B0Bc0100,B0Bc0102,NA,2,2006,unknown
G000M401,B0Bc0300,B0Bc0303,NA,1,2006,unknown
G000F402,B0Bc0300,B0Bc0303,NA,2,2006,unknown
