AnimalID,SireID,DamID,Generation,FamilyID,TankID,SexID,Birthday,S2Date,M1Date,M1BW,M2Date,M2Age1,M2Age2,M2BW,M2BL
OXHMB17G010A338,OXHMB16G000F302,OXHMB16G000B783,G01,OXHMB17G0100461,P11,Male,4/14/2117,5/4/2117,7/7/2117,19.7,9/28/2117,167,147,395,113
OXHMB17G010A339,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,408,112
OXHMB17G010A340,OXHMB16G000C863,OXHMB16G000B274,G01,OXHMB17G0100661,P11,Male,4/24/2117,5/15/2117,7/10/2117,15.2,9/28/2117,157,136,465,120
OXHMB17G0101354,OXHMB16G000C625,OXHMB16G000F625,G01,OXHMB17G0100201,P11,Male,4/21/2117,5/14/2117,7/9/2117,15.6,9/28/2117,160,137,355,112
OXHMB17G010A341,OXHMB16G000A300,MRTZD16G000F021,G01,OXHMB17G0100871,P11,Male,4/12/2117,5/1/2117,7/6/2117,18.2,9/28/2117,169,150,581,123
OXHMB17G010A342,OXHMB16G000A783,OXHMB16G00X558,G01,OXHMB17G0100281,P11,Male,4/13/2117,5/1/2117,7/6/2117,15,9/28/2117,168,150,432,112
OXHMB17G0100354,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,340,107
OXHMB17G0101445,OXHMB16G000C625,OXHMB16G000E641,G01,OXHMB17G0100203,P11,Male,5/3/2117,5/23/2117,7/12/2117,12,9/28/2117,148,128,371,110
OXHMB17G0106213,OXHMB16G000A835,OXHMB16G000E500,G01,OXHMB17G0100571,P11,Male,5/1/2117,5/24/2117,7/12/2117,16,9/28/2117,150,127,356,108
OXHMB17G0102526,OXHMB16G000A254,OXHMB16G00X022,G01,OXHMB17G0100292,P11,Male,4/24/2117,5/15/2117,7/10/2117,16,9/28/2117,157,136,272,100
OXHMB17G0105937,OXHMB16G000C751,OXHMB16G000E570,G01,OXHMB17G0100561,P11,Male,4/23/2117,5/15/2117,7/10/2117,13.1,9/28/2117,158,136,291,102
OXHMB17G010A343,OXHMB16G000A805,OXHMB16G000F485,G01,OXHMB17G0100441,P11,Male,4/15/2117,5/6/2117,7/7/2117,18.8,9/28/2117,166,145,518,118
OXHMB17G0104162,OXHMB16G000C514,OXHMB16G00X743,G01,OXHMB17G0100421,P11,Male,4/14/2117,5/4/2117,7/7/2117,16.2,9/28/2117,167,147,357,109
OXHMB17G0105286,OXHMB16G000A389,OXHMB16G000B754,G01,OXHMB17G0100482,P11,Male,4/22/2117,5/14/2117,7/9/2117,16.4,9/28/2117,159,137,169,89
OXHMB17G010A344,OXHMB16G000A072,OXHMB16G000B470,G01,OXHMB17G0100051,P11,Male,4/26/2117,5/16/2117,7/11/2117,15.5,9/28/2117,155,135,527,121
OXHMB17G0102190,OXHMB16G000C124,OXHMB16G000F498,G01,OXHMB17G0100271,P11,Male,5/6/2117,5/28/2117,7/13/2117,9.9,9/28/2117,145,123,326,105
OXHMB17G010A345,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,485,115
OXHMB17G010A346,OXHMB16G000C364,OXHMB16G000E314,G01,OXHMB17G0100412,P11,Male,4/21/2117,5/11/2117,7/9/2117,13,9/28/2117,160,140,433,113
OXHMB17G010A347,OXHMB16G000F334,MRTZD16G000F016,G01,OXHMB17G0100861,P11,Male,4/19/2117,5/11/2117,7/8/2117,13,9/28/2117,162,140,409,112
OXHMB17G0101730,OXHMB16G000C612,OXHMB16G000B679,G01,OXHMB17G0100232,P11,Male,4/14/2117,5/2/2117,7/6/2117,19.7,9/28/2117,167,149,206,92
OXHMB17G010A348,OXHMB16G000A203,MRTZD16G000F006,G01,OXHMB17G0100841,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.8,9/28/2117,160,140,395,108
OXHMB17G010A349,MRTZD16G000M012,OXHMB16G00X707,G01,OXHMB17G0100752,P11,Male,5/1/2117,5/22/2117,7/12/2117,14.7,9/28/2117,150,129,424,114
OXHMB17G0100815,OXHMB16G000F154,OXHMB16G00X523,G01,OXHMB17G0100121,P11,Male,5/4/2117,5/26/2117,7/13/2117,12,9/28/2117,147,125,151,87
OXHMB17G0104711,OXHMB16G000F713,OXHMB16G000F397,G01,OXHMB17G0100452,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.8,9/28/2117,159,136,205,94
OXHMB17G0104064,OXHMB16G000C364,OXHMB16G000E314,G01,OXHMB17G0100412,P11,Male,4/21/2117,5/11/2117,7/9/2117,13,9/28/2117,160,140,310,104
OXHMB17G0105387,OXHMB16G000A259,OXHMB16G000B443,G01,OXHMB17G0100491,P11,Male,5/3/2117,5/26/2117,7/13/2117,13.3,9/28/2117,148,125,355,109
OXHMB17G0000424,MRTZD16B000M005,MRTZD16B000F005,G01,OXHMB17G0001051,P11,Male,5/10/2117,5/30/2117,7/14/2117,8,9/28/2117,141,121,331,106
OXHMB17G010A350,OXHMB16G000C612,OXHMB16G000F455,G01,OXHMB17G0100231,P11,Male,4/12/2117,5/1/2117,7/6/2117,17,9/28/2117,169,150,418,111
OXHMB17G0100355,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,329,108
OXHMB17G0106067,OXHMB16G000C751,OXHMB16G000B166,G01,OXHMB17G0100562,P11,Male,4/25/2117,5/18/2117,7/11/2117,14.3,9/28/2117,156,133,340,109
OXHMB17G0100356,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,370,114
OXHMB17G0107747,MRTZD16G000M006,OXHMB16G000B080,G01,OXHMB17G0100741,P11,Male,4/30/2117,5/20/2117,7/12/2117,15.2,9/28/2117,151,131,403,109
OXHMB17G0105657,OXHMB16G000F063,OXHMB16G000F490,G01,OXHMB17G0100521,P11,Male,4/21/2117,5/11/2117,7/9/2117,14.9,9/28/2117,160,140,349,108
OXHMB17G010A351,OXHMB16G000C431,OXHMB16G000F584,G01,OXHMB17G0100361,P11,Male,4/24/2117,5/16/2117,7/6/2117,12.7,9/28/2117,157,135,387,111
OXHMB17G010A352,MRTZD16G000M021,OXHMB16G000B013,G01,OXHMB17G0100771,P11,Male,4/14/2117,5/4/2117,7/6/2117,16.4,9/28/2117,167,147,412,110
OXHMB17G0101510,OXHMB16G000F297,OXHMB16G000E364,G01,OXHMB17G0100211,P11,Male,4/19/2117,5/9/2117,7/8/2117,16.2,9/28/2117,162,142,417,111
OXHMB17G0102647,OXHMB16G000A116,OXHMB16G000E255,G01,OXHMB17G0100302,P11,Male,4/24/2117,5/18/2117,7/11/2117,14.2,9/28/2117,157,133,355,108
OXHMB17G010A353,OXHMB16G000A765,OXHMB16G00X110,G01,OXHMB17G0100323,P11,Male,5/1/2117,5/23/2117,7/12/2117,13.2,9/28/2117,150,128,381,110
OXHMB17G010A354,OXHMB16G000C364,OXHMB16G00X751,G01,OXHMB17G0100411,P11,Male,4/14/2117,5/1/2117,7/6/2117,16,9/28/2117,167,150,465,115
OXHMB17G010A355,OXHMB16G000C011,OXHMB16G000B151,G01,OXHMB17G0100721,P11,Male,4/13/2117,5/2/2117,7/6/2117,16.5,9/28/2117,168,149,381,110
OXHMB17G0105938,OXHMB16G000C751,OXHMB16G000E570,G01,OXHMB17G0100561,P11,Male,4/23/2117,5/15/2117,7/10/2117,13.1,9/28/2117,158,136,373,107
OXHMB17G010A356,OXHMB16G000C124,OXHMB16G00X555,G01,OXHMB17G0100272,P11,Male,5/4/2117,5/26/2117,7/12/2117,15,9/28/2117,147,125,467,108
OXHMB17G0110259,MRTZD16G000M062,MRTZD16G000F062,G01,OXHMB17G0100952,P11,Male,4/26/2117,5/17/2117,7/11/2117,14.4,9/28/2117,155,134,324,106
OXHMB17G010A357,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,444,116
OXHMB17G010A358,OXHMB16G000C364,OXHMB16G000E314,G01,OXHMB17G0100412,P11,Male,4/21/2117,5/11/2117,7/9/2117,13,9/28/2117,160,140,452,117
OXHMB17G0101178,OXHMB16G000A674,OXHMB16G000F424,G01,OXHMB17G0100182,P11,Male,5/5/2117,5/28/2117,7/13/2117,13.2,9/28/2117,146,123,344,109
OXHMB17G010A359,MRTZD16G000M022,OXHMB16G000B238,G01,OXHMB17G0100772,P11,Male,4/19/2117,5/11/2117,7/8/2117,15.2,9/28/2117,162,140,403,111
OXHMB17G0104936,OXHMB16G000F302,OXHMB16G000B760,G01,OXHMB17G0100462,P11,Male,4/20/2117,5/14/2117,7/9/2117,15.3,9/28/2117,161,137,307,106
OXHMB17G010A360,OXHMB16G000A783,OXHMB16G00X558,G01,OXHMB17G0100281,P11,Male,4/13/2117,5/1/2117,7/6/2117,15,9/28/2117,168,150,429,114
OXHMB17G0103085,OXHMB16G000A765,OXHMB16G00X110,G01,OXHMB17G0100323,P11,Male,5/1/2117,5/23/2117,7/12/2117,13.2,9/28/2117,150,128,370,104
OXHMB17G010A361,MRTZD16G000M032,OXHMB16G000B293,G01,OXHMB17G0100792,P11,Male,4/25/2117,5/16/2117,7/6/2117,10.7,9/28/2117,156,135,455,115
OXHMB17G010A362,OXHMB16G000A414,OXHMB16G000F623,G01,OXHMB17G0100071,P11,Male,4/23/2117,5/15/2117,7/10/2117,18.2,9/28/2117,158,136,520,122
OXHMB17G0108266,MRTZD16G000M031,OXHMB16G000B020,G01,OXHMB17G0100791,P11,Male,4/24/2117,5/16/2117,7/11/2117,15.4,9/28/2117,157,135,298,105
OXHMB17G010A363,OXHMB16G000F302,OXHMB16G000B783,G01,OXHMB17G0100461,P11,Male,4/14/2117,5/4/2117,7/7/2117,19.7,9/28/2117,167,147,454,116
OXHMB17G010A364,OXHMB16G000F713,OXHMB16G000B218,G01,OXHMB17G0100451,P11,Male,4/18/2117,5/8/2117,7/7/2117,17.3,9/28/2117,163,143,401,110
OXHMB17G0102527,OXHMB16G000A254,OXHMB16G00X022,G01,OXHMB17G0100292,P11,Male,4/24/2117,5/15/2117,7/10/2117,16,9/28/2117,157,136,234,95
OXHMB17G010A365,OXHMB16G000F052,OXHMB16G000E660,G01,OXHMB17G0100391,P11,Male,4/22/2117,5/15/2117,7/10/2117,14.3,9/28/2117,159,136,408,114
OXHMB17G010A366,OXHMB16G000A674,OXHMB16G000F424,G01,OXHMB17G0100182,P11,Male,5/5/2117,5/28/2117,7/13/2117,13.2,9/28/2117,146,123,396,112
OXHMB17G0103086,OXHMB16G000A765,OXHMB16G00X110,G01,OXHMB17G0100323,P11,Male,5/1/2117,5/23/2117,7/12/2117,13.2,9/28/2117,150,128,270,100
OXHMB17G010A367,OXHMB16G000C863,OXHMB16G000B274,G01,OXHMB17G0100661,P11,Male,4/24/2117,5/15/2117,7/10/2117,15.2,9/28/2117,157,136,422,115
OXHMB17G0109450,OXHMB16G000A343,MRTZD16G000F026,G01,OXHMB17G0100881,P11,Male,4/18/2117,5/11/2117,7/8/2117,13.5,9/28/2117,163,140,285,102
OXHMB17G0000202,MRTZD16B000M003,MRTZD16B000F003,G01,OXHMB17G0001031,P11,Male,5/10/2117,5/29/2117,7/14/2117,8.5,9/28/2117,141,122,145,85
OXHMB17G0100120,OXHMB16G000F332,OXHMB16G00X003,G01,OXHMB17G0100032,P11,Male,5/11/2117,5/29/2117,7/13/2117,9.1,9/28/2117,140,122,73,67
OXHMB17G0106329,OXHMB16G000A834,OXHMB16G000B649,G01,OXHMB17G0100581,P11,Male,5/4/2117,5/25/2117,7/12/2117,14.5,9/28/2117,147,126,342,107
OXHMB17G0101271,OXHMB16G000A674,OXHMB16G000E604,G01,OXHMB17G0100183,P11,Male,5/12/2117,5/29/2117,7/13/2117,8.7,9/28/2117,139,122,95,73
