Indiv,Sire,Dam,Sex,Offspring,Year,Breed
OLHBB14B000F001,0,0,female,TRUE,2014,DP
OLHBB14B000F002,0,0,female,TRUE,2014,DP
OLHBB14B000F003,0,0,female,TRUE,2014,DP
OLHBB14B000F004,0,0,female,TRUE,2014,DP
OLHBB14B000F005,0,0,female,TRUE,2014,DP
OLHBB14B000F006,0,0,female,TRUE,2014,DP
OLHBB14B000F007,0,0,female,TRUE,2014,MN
OLHBB14B000F008,0,0,female,TRUE,2014,MN
OLHBB14B000F009,0,0,female,TRUE,2014,MN
OLHBB14B000F010,0,0,female,TRUE,2014,MN
OLHBB14B000F011,0,0,female,TRUE,2014,MP
OLHBB14B000F012,0,0,female,TRUE,2014,MP
OLHBB14B000F013,0,0,female,TRUE,2014,MP
OLHBB14B000F014,0,0,female,TRUE,2014,MP
OLHBB14B000F015,0,0,female,TRUE,2014,MP
OLHBB14B000F016,0,0,female,TRUE,2014,MP
OLHBB14B000F017,0,0,female,TRUE,2014,MP
OLHBB14B000F018,0,0,female,TRUE,2014,MP
OLHBB14B000F019,0,0,female,TRUE,2014,MP
OLHBB14B000F020,0,0,female,TRUE,2014,MP
OLHBB14B000F021,0,0,female,TRUE,2014,DP
OLHBB14B000F022,0,0,female,TRUE,2014,DP
OLHBB14B000F023,0,0,female,TRUE,2014,DP
OLHBB14B000F024,0,0,female,TRUE,2014,DP
OLHBB14B000F025,0,0,female,TRUE,2014,DP
OLHBB14B000F026,0,0,female,TRUE,2014,DP
OLHBB14B000F027,0,0,female,TRUE,2014,DP
OLHBB14B000F028,0,0,female,TRUE,2014,DP
OLHBB14B000F029,0,0,female,TRUE,2014,MP
OLHBB14B000F030,0,0,female,TRUE,2014,MP
OLHBB14B000F031,0,0,female,TRUE,2014,MP
OLHBB14B000F032,0,0,female,TRUE,2014,MP
OLHBB14B000F033,0,0,female,TRUE,2014,MP
OLHBB14B000F034,0,0,female,TRUE,2014,MP
OLHBB14B000F035,0,0,female,TRUE,2014,MP
OLHBB14B000F036,0,0,female,TRUE,2014,MP
OLHBB14B000F037,0,0,female,TRUE,2014,MP
OLHBB14B000F038,0,0,female,TRUE,2014,MN
OLHBB14B000F039,0,0,female,TRUE,2014,DP
OLHBB14B000F040,0,0,female,TRUE,2014,MP
OLHBB14B000F041,0,0,female,TRUE,2014,MP
OLHBB14B000F042,0,0,female,TRUE,2014,MP
OLHBB14B000F043,0,0,female,TRUE,2014,BD
OLHBB14B000F044,0,0,female,TRUE,2014,BD
OLHBB14B000F045,0,0,female,TRUE,2014,BD
OLHBB14B000F046,0,0,female,TRUE,2014,BD
OLHBB14B000F047,0,0,female,TRUE,2014,BD
OLHBB14B000F048,0,0,female,TRUE,2014,MP
OLHBB14B000F049,0,0,female,TRUE,2014,MP
OLHBB14B000F050,0,0,female,TRUE,2014,MP
OLHBB14B000F051,0,0,female,TRUE,2014,MP
OLHBB14B000F052,0,0,female,TRUE,2014,MP
OLHBB14B000F053,0,0,female,TRUE,2014,MP
OLHBB14B000F054,0,0,female,TRUE,2014,MP
OLHBB14B000F055,0,0,female,TRUE,2014,MP
OLHBB14B000F056,0,0,female,TRUE,2014,MP
OLHBB14B000F057,0,0,female,TRUE,2014,MP
OLHBB14B000F058,0,0,female,TRUE,2014,MP
OLHBB14B000F059,0,0,female,TRUE,2014,MP
OLHBB14B000F060,0,0,female,TRUE,2014,MP
OLHBB14B000F061,0,0,female,TRUE,2014,MP
OLHBB14B000F062,0,0,female,TRUE,2014,MP
OLHBB14B000F063,0,0,female,TRUE,2014,MP
OLHBB14B000F064,0,0,female,TRUE,2014,MP
OLHBB14B000F065,0,0,female,TRUE,2014,MN
OLHBB14B000F067,0,0,female,TRUE,2014,MN
OLHBB14B000F070,0,0,female,TRUE,2014,MP
OLHBB14B000F071,0,0,female,TRUE,2014,MP
OLHBB14B000F072,0,0,female,TRUE,2014,MP
OLHBB14B000F073,0,0,female,TRUE,2014,MP
OLHBB14B000F074,0,0,female,TRUE,2014,MP
OLHBB14B000F075,0,0,female,TRUE,2014,MP
OLHBB14B000F076,0,0,female,TRUE,2014,MP
OLHBB14B000F077,0,0,female,TRUE,2014,MP
OLHBB14B000F078,0,0,female,TRUE,2014,MP
OLHBB14B000F080,0,0,female,TRUE,2014,MP
OLHBB14B000F083,0,0,female,TRUE,2014,BD
OLHBB14B000F084,0,0,female,TRUE,2014,MP
OLHBB14B000F086,0,0,female,TRUE,2014,MN
OLHBB14B000F087,0,0,female,TRUE,2014,MN
OLHBB14B000F088,0,0,female,TRUE,2014,MN
OLHBB14B000F089,0,0,female,TRUE,2014,DP
OLHBB14B000F090,0,0,female,TRUE,2014,BD
OLHBB14B000F091,0,0,female,TRUE,2014,DP
OLHBB14B000F092,0,0,female,TRUE,2014,DP
OLHBB14B000F093,0,0,female,TRUE,2014,DP
OLHBB14B000F094,0,0,female,TRUE,2014,MP
OLHBB14B000F095,0,0,female,TRUE,2014,MP
OLHBB14B000F096,0,0,female,TRUE,2014,MP
OLHBB14B000F097,0,0,female,TRUE,2014,MP
OLHBB14B000F098,0,0,female,TRUE,2014,MP
OLHBB14B000F099,0,0,female,TRUE,2014,MP
OLHBB14B000F101,0,0,female,TRUE,2014,MP
OLHBB14B000F102,0,0,female,TRUE,2014,MP
OLHBB14B000F103,0,0,female,TRUE,2014,MP
OLHBB14B000F105,0,0,female,TRUE,2014,BD
OLHBB14B000F107,0,0,female,TRUE,2014,BD
OLHBB14B000F121,0,0,female,TRUE,2014,BD
OLHBB14B000F122,0,0,female,TRUE,2014,BD
