Ind,Sire,Dam,Sex,Offspring,Year,Breed,Cand,Gen,IndNum,SireNum,DamNum
OLHBB14B000F001,0,0,female,TRUE,2014,DP,FALSE,1,1,0,0
OLHBB14B000F002,0,0,female,TRUE,2014,DP,FALSE,1,2,0,0
OLHBB14B000F003,0,0,female,TRUE,2014,DP,FALSE,1,3,0,0
OLHBB14B000F004,0,0,female,TRUE,2014,DP,FALSE,1,4,0,0
OLHBB14B000F005,0,0,female,TRUE,2014,DP,FALSE,1,5,0,0
OLHBB14B000F006,0,0,female,TRUE,2014,DP,FALSE,1,6,0,0
OLHBB14B000F007,0,0,female,TRUE,2014,MN,FALSE,1,7,0,0
OLHBB14B000F008,0,0,female,TRUE,2014,MN,FALSE,1,8,0,0
OLHBB14B000F009,0,0,female,TRUE,2014,MN,FALSE,1,9,0,0
OLHBB14B000F010,0,0,female,TRUE,2014,MN,FALSE,1,10,0,0
OLHBB14B000F011,0,0,female,TRUE,2014,MP,FALSE,1,11,0,0
OLHBB14B000F012,0,0,female,TRUE,2014,MP,FALSE,1,12,0,0
OLHBB14B000F013,0,0,female,TRUE,2014,MP,FALSE,1,13,0,0
OLHBB14B000F014,0,0,female,TRUE,2014,MP,FALSE,1,14,0,0
OLHBB14B000F015,0,0,female,TRUE,2014,MP,FALSE,1,15,0,0
OLHBB14B000F016,0,0,female,TRUE,2014,MP,FALSE,1,16,0,0
OLHBB14B000F019,0,0,female,TRUE,2014,MP,FALSE,1,17,0,0
OLHBB14B000F020,0,0,female,TRUE,2014,MP,FALSE,1,18,0,0
OLHBB14B000F021,0,0,female,TRUE,2014,DP,FALSE,1,19,0,0
OLHBB14B000F022,0,0,female,TRUE,2014,DP,FALSE,1,20,0,0
OLHBB14B000F025,0,0,female,TRUE,2014,DP,FALSE,1,21,0,0
OLHBB14B000F026,0,0,female,TRUE,2014,DP,FALSE,1,22,0,0
OLHBB14B000F027,0,0,female,TRUE,2014,DP,FALSE,1,23,0,0
OLHBB14B000F028,0,0,female,TRUE,2014,DP,FALSE,1,24,0,0
OLHBB14B000F029,0,0,female,TRUE,2014,MP,FALSE,1,25,0,0
OLHBB14B000F031,0,0,female,TRUE,2014,MP,FALSE,1,26,0,0
OLHBB14B000F032,0,0,female,TRUE,2014,MP,FALSE,1,27,0,0
OLHBB14B000F033,0,0,female,TRUE,2014,MP,FALSE,1,28,0,0
OLHBB14B000F034,0,0,female,TRUE,2014,MP,FALSE,1,29,0,0
OLHBB14B000F035,0,0,female,TRUE,2014,MP,FALSE,1,30,0,0
OLHBB14B000F039,0,0,female,TRUE,2014,DP,FALSE,1,31,0,0
OLHBB14B000F040,0,0,female,TRUE,2014,MP,FALSE,1,32,0,0
OLHBB14B000F043,0,0,female,TRUE,2014,BD,FALSE,1,33,0,0
OLHBB14B000F044,0,0,female,TRUE,2014,BD,FALSE,1,34,0,0
OLHBB14B000F046,0,0,female,TRUE,2014,BD,FALSE,1,35,0,0
OLHBB14B000F047,0,0,female,TRUE,2014,BD,FALSE,1,36,0,0
OLHBB14B000F048,0,0,female,TRUE,2014,MP,FALSE,1,37,0,0
OLHBB14B000F049,0,0,female,TRUE,2014,MP,FALSE,1,38,0,0
OLHBB14B000F050,0,0,female,TRUE,2014,MP,FALSE,1,39,0,0
OLHBB14B000F051,0,0,female,TRUE,2014,MP,FALSE,1,40,0,0
OLHBB14B000F052,0,0,female,TRUE,2014,MP,FALSE,1,41,0,0
OLHBB14B000F053,0,0,female,TRUE,2014,MP,FALSE,1,42,0,0
OLHBB14B000F054,0,0,female,TRUE,2014,MP,FALSE,1,43,0,0
OLHBB14B000F055,0,0,female,TRUE,2014,MP,FALSE,1,44,0,0
OLHBB14B000F056,0,0,female,TRUE,2014,MP,FALSE,1,45,0,0
OLHBB14B000F057,0,0,female,TRUE,2014,MP,FALSE,1,46,0,0
OLHBB14B000F058,0,0,female,TRUE,2014,MP,FALSE,1,47,0,0
OLHBB14B000F060,0,0,female,TRUE,2014,MP,FALSE,1,48,0,0
OLHBB14B000F061,0,0,female,TRUE,2014,MP,FALSE,1,49,0,0
OLHBB14B000F063,0,0,female,TRUE,2014,MP,FALSE,1,50,0,0
OLHBB14B000F065,0,0,female,TRUE,2014,MN,FALSE,1,51,0,0
