ID,Sire,Dam,Sex,Cand,InbreedinJ
J600B339,J500A475,J500C612,Male,0,0
J600C802,J500A300,J500C355,Male,0,0
J600C929,J500A511,J500A004,Male,0,0
J600D971,J500A482,J500A839,Male,0,0
J600E539,J500A664,J500A563,Male,0,0
J600E852,J500A848,J500A624,Female,0,0
J600F266,J500A475,J500C612,Female,0,0
J600H419,J500A938,J500A167,Female,0,0
J600H604,J500C583,J500A380,Female,0,0
J600I438,J500A990,J500A808,Male,0,0
J600I975,J500C591,J500C231,Male,0,0
J600J134,J500A256,J500C185,Female,0,0
J600J576,J500A938,J500A843,Male,0,0
J600J858,J500A060,J500C423,Female,0,0
J600K462,J500C317,J500C450,Female,0,0
J600A417,J500C561,J500C032,Female,0,0
J700A411,J600D971,J600J134,Female,0,0
J700A903,J600E539,J600K462,Male,0,0
J700B434,J600C802,J600H419,Female,0,0
J700C161,J600J576,J600E852,Male,0,0
J700C808,J600I975,J600F266,Male,0,0
J700D544,J600B339,J600J858,Female,0,0
J700F588,J600C929,J600A417,Female,0,0
J700J965,J600I438,J600H604,Male,0,0
J800B620,J700C161,J700A411,Male,0,0
J800B771,J700J965,J700D544,Female,0,0
J800D697,J700A903,J700B434,Female,0,0
J800L886,J700C808,J700F588,Male,0,0
J900E185,J800L886,J800D697,Female,0,0
J900B326,J800B620,J800B771,Male,0,0
J010D804,J900B326,J900E185,Female,1,0
