ID,Sire,Dam,Sex,Cand
X0YY0500,0,0,Male,0
X0YY0600,0,0,Male,0
X0YY0700,0,0,Male,0
X0YY1200,0,0,Male,0
X0YX0300,0,0,Male,0
X0YX0400,0,0,Male,0
X0YX0700,0,0,Male,0
X0YX0800,0,0,Male,0
X0YX1000,0,0,Male,0
X0YX1200,0,0,Male,0
X0Yc0100,0,0,Male,0
X0Yc0200,0,0,Male,0
X0Yc0500,0,0,Male,0
X0XY0100,0,0,Male,0
X0XY0400,0,0,Male,0
X0XY0600,0,0,Male,0
X0XY0800,0,0,Male,0
X0XY0900,0,0,Male,0
X0XY1600,0,0,Male,0
X0XX0300,0,0,Male,0
X0XX0500,0,0,Male,0
X0XX0900,0,0,Male,0
X0XX1100,0,0,Male,0
X0Xc0100,0,0,Male,0
X0Xc0300,0,0,Male,0
X0CY0400,0,0,Male,0
X0CY0500,0,0,Male,0
X0CY0800,0,0,Male,0
X0CX0300,0,0,Male,0
X0CX0800,0,0,Male,0
X0YY0501,0,0,Female,0
X0YY0601,0,0,Female,0
X0YY0603,0,0,Female,0
X0YY0701,0,0,Female,0
X0YY1201,0,0,Female,0
X0YX0302,0,0,Female,0
X0YX0402,0,0,Female,0
X0YX0403,0,0,Female,0
X0YX0702,0,0,Female,0
X0YX0703,0,0,Female,0
X0YX0801,0,0,Female,0
X0YX1003,0,0,Female,0
X0YX1202,0,0,Female,0
X0Yc0101,0,0,Female,0
X0Yc0202,0,0,Female,0
X0Yc0501,0,0,Female,0
X0XY0101,0,0,Female,0
X0XY0402,0,0,Female,0
X0XY0602,0,0,Female,0
X0XY0801,0,0,Female,0
X0XY0902,0,0,Female,0
X0XY1602,0,0,Female,0
X0XX0302,0,0,Female,0
X0XX0503,0,0,Female,0
X0XX0903,0,0,Female,0
X0XX1102,0,0,Female,0
X0Xc0102,0,0,Female,0
X0Xc0303,0,0,Female,0
X0CY0402,0,0,Female,0
X0CY0501,0,0,Female,0
X0CY0802,0,0,Female,0
X0CX0302,0,0,Female,0
X0CX0802,0,0,Female,0
MPJ00M06,0,0,Male,0
MPJ00M19,0,0,Male,0
MPJ00M16,0,0,Male,0
MPJ00M14,0,0,Male,0
MPJ00M07,0,0,Male,0
MPJ00M13,0,0,Male,0
MPJ00M15,0,0,Male,0
