Entry,Row,Block,Column,resolvable
Goonagulla,1,1,1,TRUE
Durda,2,1,1,FALSE
Euloo wirree,3,1,1,TRUE
Bulla Bulla,4,1,1,TRUE
Coreen,5,1,1,FALSE
Kergunyah,6,1,1,FALSE
Goondi,7,1,1,TRUE
Burbugate,8,1,1,TRUE
Karnakarrhu,9,1,1,FALSE
Currawinya,10,1,1,FALSE
Deegeenboyah,11,1,1,TRUE
Imbil,12,1,1,FALSE
Kancha,13,1,1,TRUE
Kuja,14,1,1,TRUE
Dandenong,15,1,1,FALSE
Coorong,16,1,1,FALSE
Kaneky,17,1,1,TRUE
Cringila,18,1,1,FALSE
Bundamba,19,1,1,TRUE
Jannali,20,1,1,FALSE
Dumbleyung,21,1,1,TRUE
Julana,22,1,1,FALSE
Cocklebiddy,23,1,1,TRUE
Jeparit,24,1,1,FALSE
Goonengerry,25,1,1,TRUE
Jabiru,26,1,1,FALSE
Allawah,27,1,1,TRUE
Colymea,28,1,1,TRUE
Kiama,29,1,1,FALSE
Burlamatta,30,1,1,FALSE
Kangkang,31,1,1,TRUE
Coraki,32,1,1,FALSE
Grahway,33,1,1,TRUE
Dungle,34,1,1,TRUE
Etoo,35,1,1,FALSE
Carrabulone,36,1,1,TRUE
Gowi-nee-bu,37,1,1,TRUE
Cooma,38,1,1,FALSE
Goonellabah,39,1,1,TRUE
Gulargambone,40,1,1,TRUE
Burrowa,41,1,1,TRUE
Jeebropilly,42,1,1,FALSE
Collaroy,43,1,1,TRUE
Coonoowrin,44,1,1,FALSE
Kimba,45,1,1,FALSE
Cooinda,46,1,1,FALSE
Gunamatta,47,1,1,TRUE
Kuringgai,48,1,1,FALSE
Kaawa,1,1,2,FALSE
Kanahooka,2,1,2,TRUE
Joondalup,3,1,2,FALSE
Itya,4,1,2,FALSE
Bungan,5,1,2,TRUE
Bungle Bungle,6,1,2,TRUE
Curramulka,7,1,2,FALSE
Killara,8,1,2,FALSE
Kanga,9,1,2,TRUE
Dunggir,10,1,2,TRUE
Jamberoo,11,1,2,FALSE
Bungawitta,12,1,2,TRUE
Jingella,13,1,2,FALSE
Kangy Angy,14,1,2,FALSE
Gulara,15,1,2,TRUE
Kinta,16,1,2,TRUE
Cowra,17,1,2,FALSE
Chokerre,18,1,2,TRUE
Coonawarra,19,1,2,FALSE
Allira,20,1,2,TRUE
Kanhe,21,1,2,FALSE
Karrabin,22,1,2,TRUE
Berrigan,23,1,2,FALSE
Kowanyama,24,1,2,TRUE
Corrabare,25,1,2,FALSE
Chaelundi,26,1,2,TRUE
Illawong,27,1,2,FALSE
Girawheen,28,1,2,FALSE
Gulgong,29,1,2,TRUE
Arramagong,30,1,2,TRUE
Karlkawima,31,1,2,FALSE
Cobaw,32,1,2,TRUE
Coopracambra,33,1,2,FALSE
Kumba,34,1,2,FALSE
Cobar,35,1,2,TRUE
Kirrhi,36,1,2,FALSE
Kareela,37,1,2,FALSE
Bunnerong,38,1,2,TRUE
Kioloa,39,1,2,FALSE
Goolwa,40,1,2,TRUE
Kembla,41,1,2,FALSE
Grong Grong,42,1,2,TRUE
Cudgegong,43,1,2,FALSE
Cockabutta,44,1,2,TRUE
Kakadu,45,1,2,TRUE
Cobboboonee,46,1,2,TRUE
Goonoo,47,1,2,TRUE
Julunggul,48,1,2,FALSE
Chincogan,1,1,3,TRUE
Indooroopilly,2,1,3,FALSE
Bunya,3,1,3,TRUE
Joalah,4,1,3,FALSE
Dural,5,1,3,FALSE
Abim,6,1,3,TRUE
Coobowie,7,1,3,FALSE
Kangaloom,8,1,3,TRUE
Galong,9,1,3,FALSE
Ettamogah,10,1,3,TRUE
Eucla,11,1,3,TRUE
Canunda,12,1,3,FALSE
Eurie Eurie,13,1,3,TRUE
Dayoorl,14,1,3,FALSE
Echuca,15,1,3,FALSE
Kinytya,16,1,3,TRUE
Gunbalunya,17,1,3,TRUE
Curriequinquin,18,1,3,FALSE
Kangka,19,1,3,TRUE
Karratha,20,1,3,TRUE
Conjola,21,1,3,TRUE
Kurrara,22,1,3,TRUE
Eumundi,23,1,3,TRUE
Guyra,24,1,3,FALSE
Karinya,25,1,3,FALSE
Eungai,26,1,3,TRUE
Kangamarru,27,1,3,TRUE
Cunderdin,28,1,3,FALSE
Kabam,29,1,3,FALSE
Karangi,30,1,3,FALSE
Coolamon,31,1,3,FALSE
Goondiwindi,32,1,3,TRUE
Dungog,33,1,3,TRUE
Buni,34,1,3,TRUE
Gurley,35,1,3,FALSE
Glaginye,36,1,3,TRUE
Kumalie,37,1,3,TRUE
Durrie,38,1,3,FALSE
Kudin,39,1,3,TRUE
Croobyar,40,1,3,FALSE
Colo,41,1,3,TRUE
Carribie,42,1,3,TRUE
Iwai,43,1,3,FALSE
Corryong,44,1,3,FALSE
Jindabyne,45,1,3,FALSE
Givinganna,46,1,3,TRUE
Cooroy,47,1,3,FALSE
Euroa,48,1,3,TRUE
Coomalong,1,2,4,FALSE
Allira,2,2,4,TRUE
Gymea,3,2,4,FALSE
Kaneky,4,2,4,TRUE
Illuka,5,2,4,FALSE
Coolgardie,6,2,4,FALSE
Kumalie,7,2,4,TRUE
Goondi,8,2,4,TRUE
Goonoo,9,2,4,TRUE
Keurong,10,2,4,FALSE
Jarrah,11,2,4,FALSE
Gulargambone,12,2,4,TRUE
Jenolan,13,2,4,FALSE
Dungle,14,2,4,TRUE
Kanahooka,15,2,4,TRUE
Illabunda,16,2,4,FALSE
Dederang,17,2,4,FALSE
Gulara,18,2,4,TRUE
Jerramungup,19,2,4,FALSE
Givinganna,20,2,4,TRUE
Karna,21,2,4,FALSE
Jindalee,22,2,4,FALSE
Illalangi,23,2,4,FALSE
Kakadu,24,2,4,TRUE
Kancha,25,2,4,TRUE
Cootamundra,26,2,4,FALSE
Colo,27,2,4,TRUE
Grahway,28,2,4,TRUE
Kanga,29,2,4,TRUE
Euloo wirree,30,2,4,TRUE
Kinytya,31,2,4,TRUE
Currowan,32,2,4,FALSE
Coolaburragundy,33,2,4,FALSE
Dayah minyah,34,2,4,FALSE
Bungle Bungle,35,2,4,TRUE
Coombell,36,2,4,FALSE
Kangamarru,37,2,4,TRUE
Kowanyama,38,2,4,TRUE
Keira,39,2,4,FALSE
Colymea,40,2,4,TRUE
Japoon,41,2,4,FALSE
Darri,42,2,4,FALSE
Goonengerry,43,2,4,TRUE
Eucla,44,2,4,TRUE
Karrabin,45,2,4,TRUE
Decreeree,46,2,4,FALSE
Goondiwindi,47,2,4,TRUE
Coolabah,48,2,4,FALSE
Gunamatta,1,2,5,TRUE
Coonabarabran,2,2,5,FALSE
Canungra,3,2,5,FALSE
Coongie,4,2,5,FALSE
Burrowa,5,2,5,TRUE
Corrimal,6,2,5,FALSE
Cocklebiddy,7,2,5,TRUE
Keli,8,2,5,FALSE
Kanji,9,2,5,FALSE
Gulgong,10,2,5,TRUE
Illoura,11,2,5,FALSE
Kanyini,12,2,5,FALSE
Allawah,13,2,5,TRUE
Dardanup,14,2,5,FALSE
Cumbalum,15,2,5,FALSE
Glaginye,16,2,5,TRUE
Chincogan,17,2,5,TRUE
Coorah,18,2,5,FALSE
Burbugate,19,2,5,TRUE
Currumbin,20,2,5,FALSE
Bunnerong,21,2,5,TRUE
Ettamogah,22,2,5,TRUE
Culgoa,23,2,5,FALSE
Ettalong,24,2,5,FALSE
Buni,25,2,5,TRUE
Collaroy,26,2,5,TRUE
Euroa,27,2,5,TRUE
Giralang,28,2,5,FALSE
Eurie Eurie,29,2,5,TRUE
Dunnia,30,2,5,FALSE
Goonagulla,31,2,5,TRUE
Cobar,32,2,5,TRUE
Kemblawarra,33,2,5,FALSE
Kangkang,34,2,5,TRUE
Coolangatta,35,2,5,FALSE
Kurrara,36,2,5,TRUE
Daku,37,2,5,FALSE
Kinta,38,2,5,TRUE
Inapertwa,39,2,5,FALSE
Conjola,40,2,5,TRUE
Bungawitta,41,2,5,TRUE
Burra Burra,42,2,5,FALSE
Bungan,43,2,5,TRUE
Etamunbanie,44,2,5,FALSE
Kangka,45,2,5,TRUE
Kolan,46,2,5,FALSE
Burnu,47,2,5,FALSE
Eungai,48,2,5,TRUE
Cooloongatta,1,2,6,FALSE
Kerang,2,2,6,FALSE
Kudin,3,2,6,TRUE
Arramagong,4,2,6,TRUE
Gunyah,5,2,6,FALSE
Kangaloom,6,2,6,TRUE
Ingalba,7,2,6,FALSE
