AnimalID,SireID,DamID,PopID,FamilyID,SexID,TankID,M1BW,M2BW,M2Age
13G1004060,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.13,29,219
13G100405J,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.13,30.5,219
13G1002715,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.13,33.3,219
13G100163J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.13,40.1,219
13G100481J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.13,43,219
13G1002677,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.55,29.1,219
13G1002687,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.55,30.7,219
13G1002666,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.55,30.7,219
13G100197J,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.55,32.5,219
13G1002669,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.55,35.6,219
13G100154J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.55,38.3,219
13G100143J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.55,43.2,219
13G100150J,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.81,28.6,219
13G1002829,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.81,30.6,219
13G1002838,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.81,32.1,219
13G1002832,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.81,33.2,219
13G1002833,12G000W075,12G000W222,Pop1,13F1306014,Male,T1,8.81,35.7,219
13G100082J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.81,37.7,219
13G1002834,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.81,41.1,219
13G100115J,12G000W075,12G000W222,Pop1,13F1306014,Female,T1,8.81,49.2,219
13G1002723,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,26.2,219
13G1002701,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,27.4,219
13G1002720,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,27.5,219
13G1004056,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,28.5,219
13G1002712,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,28.7,219
13G1004059,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.13,32,219
13G1002721,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.13,32.2,219
13G1004066,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.13,33.9,219
13G100158J,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.13,38.6,219
13G100193J,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.13,39.8,219
13G1002671,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.55,23.2,219
13G1002660,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.55,23.3,219
13G1002697,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.55,27.3,219
13G1002692,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.55,27.8,219
13G100116J,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.55,29.1,219
13G1002673,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.55,36.1,219
13G100042J,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.55,38.2,219
13G1002670,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.55,39,219
13G100180J,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.81,24.1,219
13G1002840,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.81,28.6,219
13G100113J,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.81,29.3,219
13G1002839,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.81,29.9,219
13G1002825,12G000W075,12G000W222,Pop1,13F1306014,Male,T2,8.81,31.1,219
13G1002821,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.81,31.6,219
13G1002813,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.81,32.8,219
13G1002828,12G000W075,12G000W222,Pop1,13F1306014,Female,T2,8.81,35.4,219
13G1002823,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.41,35.8,219
13G1002850,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.41,37.3,219
13G1002843,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.41,39.6,219
13G100111J,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.41,41.2,219
13G1002837,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.41,43.4,219
13G1002830,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.41,45,219
13G100665J,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.46,27,219
13G100602J,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.46,29.4,219
13G100607J,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.46,30.8,219
13G1002878,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.46,37.5,219
13G1002864,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.46,38,219
13G100630J,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.46,41.8,219
13G100699J,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.46,47,219
13G1002782,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.98,31.3,219
13G1002796,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.98,31.7,219
13G100009J,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.98,32.6,219
13G1002799,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.98,34.5,219
13G1002783,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.98,35.5,219
13G100194J,12G000W197,12G000W243,Pop1,13F1306015,Male,T1,8.98,36.2,219
13G100103J,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.98,38.7,219
13G100166J,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.98,39.1,219
13G1002785,12G000W197,12G000W243,Pop1,13F1306015,Female,T1,8.98,39.5,219
13G100105J,12G000W197,12G000W243,Pop1,13F1306015,Male,T2,8.41,28,219
13G100054J,12G000W197,12G000W243,Pop1,13F1306015,Male,T2,8.41,30.6,219
13G100185J,12G000W197,12G000W243,Pop1,13F1306015,Male,T2,8.41,34,219
13G1002836,12G000W197,12G000W243,Pop1,13F1306015,Female,T2,8.41,36.5,219
13G1002845,12G000W197,12G000W243,Pop1,13F1306015,Female,T2,8.41,38.4,219
13G100155J,12G000W197,12G000W243,Pop1,13F1306015,Female,T2,8.41,44.1,219
13G1002889,12G000W197,12G000W243,Pop1,13F1306015,Male,T2,8.46,21.8,219
